video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=WGBFXpLX6kI&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@heimlershistory,Heimler's History,How GEOGRAPHIC DATA Is Collected [AP Human Geo Review: Unit 1 Topic 2],53K,2 years,More from Heimler's History: ***AP Human Geography Heimler Review Guide: https://bit.ly/3XEc6Bu ***AP Human Geography ...,21:27.7
/watch?v=Hau_ZCmN8eU&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@SpatialZone,Spatial Zone,What Is GIS? A Guide to Geographic Information Systems,251K,2 years,"2) Secondly, a GIS visualizes geographic data typically using maps. 3) Thirdly, GIS software can analyze spatial relationships and ...",21:27.7
/watch?v=1te6CqIolfY&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@MrSinn,Mr. Sinn,Types of Geographic Data [AP Human Geography Review Unit 1 Topic 2],157K,3 years,More from Mr. Sinn Ultimate Review Packets: AP Human Geography: https://rb.gy/b1lmke AP Psychology: https://bit.ly/3vs9s43 ...,21:27.7
/watch?v=q17s84ADGfA&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@Scribbr-us,Scribbr,Research Design: Choosing your Data Collection Methods | Scribbr 🎓,321K,4 years,"It's time to choose your data collection methods. You can choose just one data collection method, or use several methods in the ...",21:27.7
/watch?v=3DVgQFALxCo&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@MrCognito,Mr Cognito,Vector vs Raster Data - GIS Explained,32K,1 year,"In the subject of Geographic Information Systems (GIS), the vector and raster formats are two ways of representing real-world ...",21:34.8
/watch?v=QMmk49KTCxk&t=179s&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@MattForrest,Matt Forrest,What Is Spatial Data? A Beginner’s Guide,12K,10 months,"Most data is about what happens, but spatial data adds the crucial dimension of where it happens. Whether you're tracking real ...",21:34.8
/watch?v=SQib9zXFSBM&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@TheFriendlyStatistician,The Friendly Statistician,What Is Geographic Data? - The Friendly Statistician,124,5 months,"... the various sources of geographic data, from telematics devices to satellite imagery, and how they play a role in data collection.",21:34.8
/watch?v=_P-qKm6UxJs&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@dalidata_tz,Dali Data,10 Methods for Spatial Data Collection.,467,2 years,"Exploring 10 Methods of Spatial Data Collection In this enlightening video, join us on a journey through the world of spatial ...",21:34.8
/watch?v=FoLA4gGQGrE&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@VisionIASdelhi,Vision IAS,What is geospatial data?,18K,2 years,"To know more on Geo-spatial technology, Refer Weekly Focus 76: Geo-spatial data and National Security. Download at: ...",21:34.9
/watch?v=Ak0RGiUdsDo&pp=ygUcR2VvZ3JhcGhpY2FsIGRhdGEgY29sbGVjdGlvbg%3D%3D,/@charlesedeki--mathcomputer7198,Charles Edeki -- Math Computer Science Programming,Working with Data in Geographical Information System. Spatial Data Collection Technique and Metadata,280,3 years,Working with data in the GIS environment Primary and secondary spatial data collection techniques Public Health Geographic ...,21:34.9
